"Детские сады / Ясли"#"Детский сад №282, центр развития ребенка"#"Кирова, 5Б"#"61.400948562969 55.180857252706"
"Детские сады / Ясли"#"Детский сад №27, центр развития ребенка"#"Томилова, 13а"#"61.609952640166 55.121578858927"
"Детские сады / Ясли"#"Детский сад №243"#"Корабельная, 4а"#"61.360929139429 55.106000939522"
"Детские сады / Ясли"#"Детский сад №427, художественно-эстетического направления развития"#"Молодогвардейцев, 8а"#"61.326235679988 55.199715753478"
"Детские сады / Ясли"#"Детский сад №74"#"Воровского, 51а"#"61.385429607188 55.146842906453"
"Детские сады / Ясли"#"Детский сад №259, интеллектуального направления развития"#"Южная (Центральный), 5"#"61.386068740248 55.15366944674"
"Детские сады / Ясли"#"Детский сад №31, центр развития ребенка"#"Мелькомбинат 2 1-й участок, 40"#"61.347019592501 55.168865607395"
"Детские сады / Ясли"#"Детский сад №444, общеразвивающего вида"#"Братьев Кашириных, 101Б"#"61.344265286953 55.176921074433"
"Детские сады / Ясли"#"Детский сад №59"#"Пушкина, 62"#"61.409142275098 55.158784638061"
"Детские сады / Ясли"#"Детский сад №402, центр развития ребенка"#"Гагарина (Ленинский), 21а"#"61.442852017653 55.136804695018"
"Детские сады / Ясли"#"Детский сад №62"#"40 лет Победы, 15а"#"61.297556477415 55.189955494596"
"Детские сады / Ясли"#"Детский сад №21, Светлячок, комбинированного вида, г. Копейск"#"Гольца, 9г"#"61.60553032957 55.114684742132"
"Детские сады / Ясли"#"Детский сад №45, центр развития ребенка"#"Победы проспект, 9а"#"61.614469288848 55.115481044761"
"Детские сады / Ясли"#"Детский сад №35, Тополёк, г. Копейск"#"Победы проспект, 24"#"61.608736757684 55.118043524491"
"Детские сады / Ясли"#"Детский сад №16, пос. Старокамышинск"#"Никитина (Старокамышинск), 6"#"61.533058756494 55.051870110167"
"Детские сады / Ясли"#"Дошкольное отделение, Средняя общеобразовательная школа №106"#"Крылова, 17а"#"61.438376718539 55.172469191736"
"Детские сады / Ясли"#"Детский сад №433, комбинированного вида"#"Дегтярёва, 5а"#"61.398365108269 55.272787158641"
"Детские сады / Ясли"#"Детский сад №364, центр развития ребенка"#"Ворошилова, 11а"#"61.324916951339 55.197705977827"
"Детские сады / Ясли"#"Детский сад №19"#"Скульптора Головницкого, 6"#"61.287322350629 55.20785169377"
